R(kpc)   , V(km/s)  
0.001,204.2
0.05,209.55406
0.1,221.17062
0.15,235.59671
0.2,246.31863
0.25,251.17328
0.3,252.23865
0.35,251.3707
0.4,249.16048
0.45,246.26276
0.5,243.31323
0.55,240.47087
0.6,237.44099
0.65,234.32184
0.7,231.27351
0.75,228.22401
0.8,225.36021
0.85,222.84642
0.9,220.51955
0.95,218.56766
1,217.21397
1.05,216.18442
1.1,215.3904
1.15,214.79504
1.2,214.23282
1.25,213.62454
1.3,212.92415
1.35,212.1777
1.4,211.43652
1.45,210.7429
1.5,210.03438
1.55,209.29282
1.6,208.50002
1.65,207.64754
1.7,206.74559
1.75,205.82294
1.8,204.91537
1.85,204.04976
1.9,203.23418
1.95,202.45992
2,201.71246
2.05,200.98337
2.1,200.27583
2.15,199.60184
2.2,198.97377
2.25,198.39645
2.3,197.86472
2.35,197.36772
2.4,196.89691
2.45,196.45235
2.5,196.04378
2.55,195.68622
2.6,195.39339
2.65,195.17314
2.7,195.02711
2.75,194.9539
2.8,194.95294
2.85,195.02635
2.9,195.17769
2.95,195.40749
3,195.70827
3.05,196.06334
3.1,196.45151
3.15,196.85565
3.2,197.26961
3.25,197.69888
3.3,198.15526
3.35,198.64874
3.4,199.18213
3.45,199.75072
3.5,200.34615
3.55,200.96124
3.6,201.59219
3.65,202.23717
3.7,202.89224
3.75,203.54716
3.8,204.18463
3.85,204.78485
3.9,205.33382
3.95,205.83002
4,206.28485
4.05,206.71587
4.1,207.13702
4.15,207.55231
4.2,207.95592
4.25,208.33818
4.3,208.69231
4.35,209.01807
4.4,209.32011
4.45,209.60336
4.5,209.86864
4.55,210.11095
4.6,210.32149
4.65,210.49086
4.7,210.61223
4.75,210.68282
4.8,210.70483
4.85,210.68671
4.9,210.64377
4.95,210.59598
5,210.56136
5.05,210.54816
5.1,210.55151
5.15,210.55832
5.2,210.55884
5.25,210.55833
5.3,210.58018
5.35,210.65723
5.4,210.81599
5.45,211.06339
5.5,211.38469
5.55,211.75313
5.6,212.14372
5.65,212.54259
5.7,212.94756
5.75,213.36166
5.8,213.785
5.85,214.20999
5.9,214.62212
5.95,215.0049
6,215.34491
6.05,215.63364
6.1,215.86594
