Radius   , Velocity  
0,0
0.05,113.13833
0.1,183.93909
0.15,205.94473
0.2,209.5742
0.25,213.65466
0.3,217.76311
0.35,220.42043
0.4,220.9435
0.45,219.61349
0.5,217.20041
0.55,214.48074
0.6,211.99699
0.65,210.16144
0.7,209.05798
0.75,208.42989
0.8,208.05116
0.85,207.94969
0.9,208.18065
0.95,208.68027
1,209.34383
1.05,210.20345
1.1,211.27367
1.15,212.42502
1.2,213.57637
1.25,214.75717
1.3,216.01738
1.35,217.34802
1.4,218.69914
1.45,220.0452
1.5,221.38745
1.55,222.71918
1.6,224.02753
1.65,225.29221
1.7,226.48814
1.75,227.59309
1.8,228.59505
1.85,229.49448
1.9,230.29948
1.95,231.01904
2,231.66063
2.05,232.23241
2.1,232.74576
2.15,233.21429
2.2,233.65028
2.25,234.06172
2.3,234.45119
2.35,234.81654
2.4,235.15245
2.45,235.45335
2.5,235.71703
2.55,235.94682
2.6,236.15125
2.65,236.34093
2.7,236.52563
2.75,236.71318
2.8,236.91026
2.85,237.12363
2.9,237.3598
2.95,237.6226
3,237.91022
3.05,238.21373
3.1,238.51923
3.15,238.81212
3.2,239.08205
3.25,239.32535
3.3,239.54451
3.35,239.7451
3.4,239.93262
3.45,240.11041
3.5,240.27908
3.55,240.43678
3.6,240.58044
3.65,240.70805
3.7,240.82172
3.75,240.92969
3.8,241.04605
3.85,241.18678
3.9,241.36386
3.95,241.58003
4,241.82735
4.05,242.09055
4.1,242.35335
4.15,242.60484
4.2,242.84296
4.25,243.07436
4.3,243.3109
4.35,243.56422
4.4,243.84053
4.45,244.13741
4.5,244.44447
4.55,244.7476
4.6,245.0351
4.65,245.30383
4.7,245.56248
4.75,245.83002
4.8,246.12949
4.85,246.47919
4.9,246.88516
4.95,247.33926
5,247.82359
5.05,248.3186
5.1,248.81036
5.15,249.29443
5.2,249.77541
5.25,250.26357
5.3,250.76981
5.35,251.30119
5.4,251.85861
5.45,252.43758
5.5,253.03114
5.55,253.63284
5.6,254.23827
5.65,254.84521
5.7,255.45293
5.75,256.06137
